Country,RDI,Percent Christian,Percent Muslim,Percent Unaffiliated,Percent Hindu,Percent Buddhist,Percent Folk Religions,Percent Other Religions,Percent Jewish,2010 Country Population
Afghanistan,0.1,0.1%,99.7%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"31,410,000"
Albania,3.7,18.0%,80.3%,1.4%,< 0.1%,< 0.1%,< 0.1%,0.2%,< 0.1%,"3,200,000"
Algeria,0.5,0.2%,97.9%,1.8%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"35,470,000"
American Samoa,0.4,98.3%,< 0.1%,0.7%,< 0.1%,0.3%,0.4%,0.3%,< 0.1%,"70,000"
Andorra,2.2,89.5%,0.8%,8.8%,0.5%,< 0.1%,< 0.1%,0.1%,0.3%,"80,000"
Angola,2.0,90.5%,0.2%,5.1%,< 0.1%,< 0.1%,4.2%,< 0.1%,< 0.1%,"19,080,000"
Anguilla,2.0,90.6%,0.3%,4.0%,0.4%,< 0.1%,2.9%,1.6%,0.1%,"20,000"
Antigua and Barbuda,1.5,93.0%,0.6%,1.7%,0.2%,< 0.1%,3.6%,1.0%,< 0.1%,"90,000"
Argentina,3.0,85.2%,1.0%,12.2%,< 0.1%,< 0.1%,0.8%,0.3%,0.5%,"40,410,000"
Armenia,0.3,98.5%,< 0.1%,1.3%,< 0.1%,< 0.1%,< 0.1%,0.1%,< 0.1%,"3,090,000"
Aruba,1.7,91.9%,0.2%,6.0%,< 0.1%,0.1%,1.3%,0.1%,0.4%,"110,000"
Australia,5.6,67.3%,2.4%,24.2%,1.4%,2.7%,0.7%,0.8%,0.5%,"22,270,000"
Austria,3.8,80.4%,5.4%,13.5%,< 0.1%,0.2%,< 0.1%,0.1%,0.2%,"8,390,000"
Azerbaijan,0.7,3.0%,96.9%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"9,190,000"
Bahamas,0.9,96.0%,0.1%,3.1%,< 0.1%,< 0.1%,0.3%,0.3%,< 0.1%,"340,000"
Bahrain,5.4,14.5%,70.3%,1.9%,9.8%,2.5%,< 0.1%,0.2%,0.6%,"1,260,000"
Bangladesh,2.1,0.2%,89.8%,< 0.1%,9.1%,0.5%,0.4%,< 0.1%,< 0.1%,"148,690,000"
Barbados,1.1,95.2%,1.0%,1.9%,0.4%,< 0.1%,< 0.1%,1.4%,< 0.1%,"270,000"
Belarus,4.7,71.2%,0.2%,28.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"9,600,000"
Belgium,5.7,64.2%,5.9%,29.0%,< 0.1%,0.2%,0.2%,< 0.1%,0.3%,"10,710,000"
Belize,2.6,87.6%,0.1%,8.9%,0.2%,0.5%,1.5%,0.1%,1.0%,"310,000"
Benin,7.2,53.0%,23.8%,5.0%,< 0.1%,< 0.1%,18.1%,< 0.1%,< 0.1%,"8,850,000"
Bermuda,4.6,75.0%,1.1%,19.4%,< 0.1%,0.5%,3.0%,0.8%,0.3%,"60,000"
Bhutan,4.5,0.5%,0.2%,< 0.1%,22.6%,74.7%,1.9%,< 0.1%,< 0.1%,"730,000"
Bolivia,1.3,93.9%,< 0.1%,4.1%,< 0.1%,< 0.1%,0.9%,1.0%,< 0.1%,"9,930,000"
Bosnia-Herzegovina,6.0,52.3%,45.2%,2.5%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"3,760,000"
Botswana,5.0,72.1%,0.4%,20.6%,0.3%,< 0.1%,6.0%,0.6%,< 0.1%,"2,010,000"
Brazil,2.3,88.9%,< 0.1%,7.9%,< 0.1%,0.1%,2.8%,0.2%,< 0.1%,"194,950,000"
British Virgin Islands,3.2,84.5%,1.2%,3.9%,1.2%,< 0.1%,8.4%,0.8%,< 0.1%,"20,000"
Brunei,4.8,9.4%,75.1%,0.4%,0.3%,8.6%,6.2%,0.1%,< 0.1%,"400,000"
Bulgaria,3.5,82.1%,13.7%,4.2%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"7,490,000"
Burkina Faso,6.2,22.5%,61.6%,0.4%,< 0.1%,< 0.1%,15.4%,< 0.1%,< 0.1%,"16,470,000"
Burma (Myanmar),4.0,7.8%,4.0%,0.5%,1.7%,80.1%,5.8%,0.2%,< 0.1%,"47,960,000"
Burundi,1.8,91.5%,2.8%,< 0.1%,< 0.1%,< 0.1%,5.7%,< 0.1%,< 0.1%,"8,380,000"
Cambodia,0.7,0.4%,2.0%,0.2%,< 0.1%,96.9%,0.6%,< 0.1%,< 0.1%,"14,140,000"
Cameroon,5.3,70.3%,18.3%,5.3%,< 0.1%,< 0.1%,3.3%,2.7%,< 0.1%,"19,600,000"
Canada,5.3,69.0%,2.1%,23.7%,1.4%,0.8%,1.2%,0.9%,1.0%,"34,020,000"
Cape Verde,2.3,89.1%,0.1%,9.1%,< 0.1%,< 0.1%,1.5%,0.2%,< 0.1%,"500,000"
Cayman Islands,3.3,83.5%,0.4%,9.4%,0.9%,< 0.1%,4.5%,0.6%,0.8%,"60,000"
Central African Republic,2.2,89.5%,8.5%,1.0%,< 0.1%,< 0.1%,1.0%,< 0.1%,< 0.1%,"4,400,000"
Chad,6.0,40.6%,55.3%,2.5%,< 0.1%,< 0.1%,1.4%,0.1%,< 0.1%,"11,230,000"
Channel Islands,2.9,85.2%,< 0.1%,14.2%,< 0.1%,< 0.1%,< 0.1%,0.3%,< 0.1%,"150,000"
Chile,2.2,89.4%,< 0.1%,8.6%,< 0.1%,< 0.1%,1.5%,0.2%,0.1%,"17,110,000"
China,7.3,5.1%,1.8%,52.2%,< 0.1%,18.2%,21.9%,0.7%,< 0.1%,"1,341,340,000"
Colombia,1.6,92.5%,< 0.1%,6.6%,< 0.1%,< 0.1%,0.8%,< 0.1%,< 0.1%,"46,290,000"
Comoros,0.4,0.5%,98.3%,0.1%,< 0.1%,< 0.1%,1.0%,< 0.1%,< 0.1%,"730,000"
Cook Islands,0.9,96.0%,< 0.1%,3.2%,< 0.1%,< 0.1%,< 0.1%,0.8%,< 0.1%,"20,000"
Costa Rica,1.9,90.9%,< 0.1%,7.9%,< 0.1%,< 0.1%,0.8%,0.3%,< 0.1%,"4,660,000"
Croatia,1.4,93.4%,1.4%,5.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"4,400,000"
Cuba,6.5,59.2%,< 0.1%,23.0%,0.2%,< 0.1%,17.4%,< 0.1%,< 0.1%,"11,260,000"
Cyprus,4.6,73.2%,25.3%,1.2%,< 0.1%,0.2%,< 0.1%,< 0.1%,< 0.1%,"1,100,000"
Czech Republic,4.1,23.3%,< 0.1%,76.4%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"10,490,000"
Democratic Republic of the Congo,0.9,95.8%,1.5%,1.8%,< 0.1%,< 0.1%,0.7%,0.1%,< 0.1%,"65,970,000"
Denmark,3.3,83.5%,4.1%,11.8%,0.4%,0.2%,< 0.1%,< 0.1%,< 0.1%,"5,550,000"
Djibouti,0.7,2.3%,96.9%,0.2%,< 0.1%,< 0.1%,0.3%,< 0.1%,0.2%,"890,000"
Dominica,1.2,94.4%,0.1%,0.5%,< 0.1%,0.1%,3.0%,1.7%,< 0.1%,"70,000"
Dominican Republic,2.4,88.0%,< 0.1%,10.9%,< 0.1%,< 0.1%,0.9%,0.1%,< 0.1%,"9,930,000"
Ecuador,1.3,94.1%,< 0.1%,5.5%,< 0.1%,< 0.1%,0.3%,< 0.1%,< 0.1%,"14,460,000"
Egypt,1.1,5.1%,94.9%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"81,120,000"
El Salvador,2.4,88.2%,< 0.1%,11.0%,< 0.1%,< 0.1%,0.5%,0.3%,< 0.1%,"6,190,000"
Equatorial Guinea,2.4,88.7%,4.0%,5.0%,< 0.1%,< 0.1%,1.7%,0.5%,< 0.1%,"700,000"
Eritrea,5.4,62.9%,36.6%,0.1%,< 0.1%,< 0.1%,0.4%,< 0.1%,< 0.1%,"5,250,000"
Estonia,5.5,39.9%,0.2%,59.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,0.1%,"1,340,000"
Ethiopia,5.6,62.8%,34.6%,< 0.1%,< 0.1%,< 0.1%,2.6%,< 0.1%,< 0.1%,"82,950,000"
Faeroe Islands,0.4,98.0%,< 0.1%,1.7%,< 0.1%,< 0.1%,< 0.1%,0.3%,< 0.1%,"50,000"
Falkland Islands (Malvinas),5.1,67.2%,0.3%,31.5%,< 0.1%,0.2%,< 0.1%,0.8%,< 0.1%,"< 10,000"
Federated States of Micronesia,1.0,95.3%,< 0.1%,0.9%,< 0.1%,0.4%,2.7%,0.7%,< 0.1%,"110,000"
Fiji,5.8,64.4%,6.3%,0.8%,27.9%,< 0.1%,< 0.1%,0.5%,< 0.1%,"860,000"
Finland,3.5,81.6%,0.8%,17.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"5,360,000"
France,5.9,63.0%,7.5%,28.0%,< 0.1%,0.5%,0.3%,0.2%,0.5%,"62,790,000"
French Guiana,3.2,84.4%,0.9%,3.4%,1.6%,< 0.1%,9.1%,0.5%,< 0.1%,"230,000"
French Polynesia,1.3,94.0%,< 0.1%,4.9%,< 0.1%,< 0.1%,0.5%,0.4%,< 0.1%,"270,000"
Gabon,4.5,76.5%,11.2%,5.6%,< 0.1%,< 0.1%,6.0%,0.7%,< 0.1%,"1,510,000"
Gambia,1.1,4.5%,95.1%,< 0.1%,< 0.1%,< 0.1%,0.1%,< 0.1%,< 0.1%,"1,730,000"
Georgia,2.3,88.5%,10.7%,0.7%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"4,350,000"
Germany,5.3,68.7%,5.8%,24.7%,< 0.1%,0.3%,< 0.1%,0.1%,0.3%,"82,300,000"
Ghana,4.7,74.9%,15.8%,4.2%,< 0.1%,< 0.1%,4.9%,0.2%,< 0.1%,"24,390,000"
Gibraltar,2.4,88.8%,4.0%,2.9%,1.8%,< 0.1%,< 0.1%,0.3%,2.1%,"30,000"
Greece,2.5,88.1%,5.3%,6.1%,0.1%,< 0.1%,0.1%,< 0.1%,< 0.1%,"11,360,000"
Greenland,0.9,96.1%,< 0.1%,2.5%,< 0.1%,< 0.1%,0.8%,0.6%,< 0.1%,"60,000"
Grenada,0.8,96.6%,0.3%,1.0%,0.7%,< 0.1%,1.3%,0.2%,< 0.1%,"100,000"
Guadeloupe,0.9,95.9%,0.4%,2.5%,0.5%,< 0.1%,0.4%,0.4%,< 0.1%,"460,000"
Guam,1.3,94.2%,< 0.1%,1.7%,< 0.1%,1.1%,1.5%,1.6%,< 0.1%,"180,000"
Guatemala,1.1,95.2%,< 0.1%,4.1%,< 0.1%,< 0.1%,0.6%,< 0.1%,< 0.1%,"14,390,000"
Guinea,3.1,10.9%,84.4%,1.8%,< 0.1%,< 0.1%,2.7%,< 0.1%,< 0.1%,"9,980,000"
Guinea Bissau,7.5,19.7%,45.1%,4.3%,< 0.1%,< 0.1%,30.9%,< 0.1%,< 0.1%,"1,520,000"
Guyana,5.7,66.0%,6.4%,2.0%,24.9%,< 0.1%,0.2%,0.6%,< 0.1%,"750,000"
Haiti,2.7,86.9%,< 0.1%,10.6%,< 0.1%,< 0.1%,2.2%,0.3%,< 0.1%,"9,990,000"
Honduras,2.5,87.6%,0.1%,10.5%,< 0.1%,0.1%,1.1%,0.6%,< 0.1%,"7,600,000"
Hong Kong,7.2,14.3%,1.8%,56.1%,0.4%,13.2%,12.8%,1.5%,< 0.1%,"7,050,000"
Hungary,3.5,81.0%,< 0.1%,18.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,0.1%,"9,980,000"
Iceland,1.1,95.0%,0.2%,3.5%,0.3%,0.4%,0.5%,0.2%,< 0.1%,"320,000"
India,4.0,2.5%,14.4%,< 0.1%,79.5%,0.8%,0.5%,2.3%,< 0.1%,"1,224,610,000"
Indonesia,2.6,9.9%,87.2%,< 0.1%,1.7%,0.7%,0.3%,0.1%,< 0.1%,"239,870,000"
Iran,0.1,0.2%,99.5%,0.1%,< 0.1%,< 0.1%,< 0.1%,0.2%,< 0.1%,"73,970,000"
Iraq,0.2,0.8%,99.0%,0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"31,670,000"
Ireland,1.7,92.0%,1.1%,6.2%,0.2%,0.2%,0.2%,< 0.1%,< 0.1%,"4,470,000"
Isle of Man,3.1,84.1%,0.2%,15.4%,0.2%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"80,000"
Israel,4.5,2.0%,18.6%,3.1%,< 0.1%,0.3%,0.2%,0.1%,75.6%,"7,420,000"
Italy,3.3,83.3%,3.7%,12.4%,0.1%,0.2%,0.1%,< 0.1%,< 0.1%,"60,550,000"
Ivory Coast,7.4,44.1%,37.5%,8.0%,< 0.1%,< 0.1%,10.2%,0.2%,< 0.1%,"19,740,000"
Jamaica,4.3,77.2%,< 0.1%,17.2%,< 0.1%,< 0.1%,4.5%,1.0%,< 0.1%,"2,740,000"
Japan,6.2,1.6%,0.2%,57.0%,< 0.1%,36.2%,0.4%,4.7%,< 0.1%,"126,540,000"
Jordan,0.6,2.2%,97.2%,< 0.1%,0.1%,0.4%,< 0.1%,< 0.1%,< 0.1%,"6,190,000"
Kazakhstan,5.0,24.8%,70.4%,4.2%,< 0.1%,0.2%,0.3%,0.1%,< 0.1%,"16,030,000"
Kenya,3.1,84.8%,9.7%,2.5%,0.1%,< 0.1%,1.7%,1.2%,< 0.1%,"40,510,000"
Kiribati,0.7,97.0%,< 0.1%,0.8%,< 0.1%,< 0.1%,< 0.1%,2.2%,< 0.1%,"100,000"
Kosovo,2.6,11.4%,87.0%,1.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"2,080,000"
Kuwait,4.8,14.3%,74.1%,< 0.1%,8.5%,2.8%,< 0.1%,0.3%,< 0.1%,"2,740,000"
Kyrgyzstan,2.4,11.4%,88.0%,0.4%,< 0.1%,< 0.1%,0.1%,< 0.1%,< 0.1%,"5,330,000"
Laos,5.4,1.5%,< 0.1%,0.9%,< 0.1%,66.0%,30.7%,0.7%,< 0.1%,"6,200,000"
Latvia,5.7,55.8%,0.1%,43.8%,< 0.1%,< 0.1%,< 0.1%,0.2%,< 0.1%,"2,250,000"
Lebanon,5.5,38.3%,61.3%,0.3%,< 0.1%,0.2%,< 0.1%,< 0.1%,< 0.1%,"4,230,000"
Lesotho,0.7,96.8%,< 0.1%,3.1%,< 0.1%,< 0.1%,0.1%,< 0.1%,< 0.1%,"2,170,000"
Liberia,2.8,85.9%,12.0%,1.4%,< 0.1%,< 0.1%,0.5%,0.1%,< 0.1%,"3,990,000"
